object,cabinet#130,cabinet#134,cabinet#135,cabinet#136,cabinet#140,cabinet#141,cabinet#143,cabinet#145,cabinet#146,cabinet#147,chair#131,chair#132,chair#139,clock#137,coffee maker#138,coffee maker#142,dining table#133,outlet#144,picture frame#129,refrigerator#128,clock#200,couch#199,shelf#202,side table#201,side table#203,side table#204,side table#205,cabinet#523,cabinet#524,cabinet#525,cabinet#526,cabinet#527,chair#518,chair#519,coffee maker#529,coffee maker#531,fireplace#528,fireplace#530,microwave#520,oven#521,side table#522,side table#532,chair#593,clock#589,couch#588,couch#592,fireplace#594,fireplace#595,side table#587,side table#590,table lamp#591
couch#199,0.589057,0.582442,0.539724,0.531046,0.577574,0.619025,0.611536,0.543947,0.598907,0.572589,0.508980,0.512706,0.617650,0.437070,0.446111,0.485444,0.589118,0.517821,0.389216,0.470592,0.416035,1.000000,0.391263,0.640263,0.589178,0.670792,0.694204,0.574552,0.585191,0.568193,0.587441,0.608751,0.724348,0.368331,0.510423,0.565833,0.463285,0.532430,0.433836,0.473749,0.735034,0.584420,0.735672,0.328452,0.846521,0.822570,0.500791,0.457188,0.535743,0.629971,0.419550
shelf#202,0.463406,0.425542,0.489687,0.499945,0.506240,0.506959,0.479954,0.464487,0.512908,0.448147,0.263896,0.352341,0.412143,0.401156,0.363966,0.496925,0.433115,0.537262,0.320538,0.583158,0.360981,0.391263,1.000000,0.413100,0.378947,0.408070,0.388195,0.518779,0.485330,0.468066,0.484409,0.517927,0.429373,0.298685,0.468077,0.499664,0.469359,0.460596,0.526761,0.514668,0.348550,0.377908,0.344611,0.359316,0.416648,0.369639,0.415716,0.464811,0.394734,0.333126,0.366923
side table#201,0.527703,0.516109,0.503637,0.489626,0.517787,0.524510,0.517923,0.545015,0.513593,0.509439,0.502462,0.478496,0.573534,0.419983,0.387586,0.465440,0.549655,0.390706,0.383724,0.337736,0.382276,0.640263,0.413100,1.000000,0.755259,0.776605,0.806346,0.529401,0.557453,0.553793,0.519166,0.541158,0.470511,0.396049,0.481032,0.470679,0.426018,0.451879,0.299728,0.466074,0.728019,0.665995,0.527522,0.340921,0.517976,0.557569,0.439995,0.489012,0.745020,0.728438,0.492464
side table#203,0.594706,0.584212,0.522709,0.517267,0.528702,0.577192,0.571471,0.574079,0.523260,0.613372,0.479216,0.493350,0.543712,0.348347,0.351506,0.378726,0.504582,0.384704,0.381677,0.303832,0.353169,0.589178,0.378947,0.755259,1.000000,0.786102,0.790700,0.540232,0.575031,0.624772,0.573113,0.580293,0.407679,0.429037,0.389430,0.391291,0.383894,0.395646,0.289519,0.450546,0.717222,0.550008,0.594846,0.314968,0.483739,0.582018,0.443331,0.434024,0.794748,0.746096,0.384114
side table#204,0.624072,0.619602,0.592378,0.598017,0.618847,0.651501,0.618262,0.585262,0.638778,0.630306,0.488478,0.522956,0.584288,0.483043,0.449526,0.497114,0.670850,0.547239,0.427994,0.458869,0.458342,0.670792,0.408070,0.776605,0.786102,1.000000,0.870559,0.626311,0.621165,0.629654,0.621474,0.677917,0.553601,0.453797,0.521932,0.560267,0.522372,0.546700,0.430009,0.464498,0.809757,0.716644,0.548475,0.366018,0.544240,0.576538,0.539922,0.561158,0.716534,0.802296,0.475902
side table#205,0.606562,0.599864,0.576359,0.558966,0.557417,0.614041,0.577850,0.536061,0.558312,0.571914,0.509370,0.521169,0.597169,0.401839,0.372727,0.411193,0.611892,0.421284,0.387584,0.395039,0.403617,0.694204,0.388195,0.806346,0.790700,0.870559,1.000000,0.537293,0.568762,0.583909,0.571987,0.608936,0.531532,0.420638,0.440626,0.463317,0.435560,0.477300,0.338961,0.424751,0.745917,0.666279,0.579318,0.301290,0.602889,0.620846,0.501668,0.481723,0.744608,0.826820,0.419793
cabinet#523,0.863211,0.769631,0.810081,0.769481,0.807608,0.787902,0.863452,0.858582,0.804161,0.837327,0.407313,0.487075,0.551807,0.502941,0.520847,0.552511,0.616187,0.622168,0.477525,0.629297,0.489469,0.574552,0.518779,0.529401,0.540232,0.626311,0.537293,1.000000,0.865329,0.852886,0.865436,0.893949,0.569413,0.341665,0.572946,0.603238,0.573967,0.575204,0.540462,0.631091,0.646738,0.548365,0.492551,0.411450,0.514015,0.532469,0.607004,0.577250,0.453650,0.540710,0.433624
cabinet#524,0.848393,0.869771,0.815965,0.786066,0.813489,0.813621,0.835009,0.850340,0.781848,0.830859,0.377743,0.495022,0.533385,0.431175,0.429072,0.421795,0.559070,0.506413,0.430110,0.544382,0.415288,0.585191,0.485330,0.557453,0.575031,0.621165,0.568762,0.865329,1.000000,0.845861,0.890163,0.857058,0.508728,0.349377,0.458852,0.487252,0.538924,0.506581,0.415677,0.551043,0.676774,0.538333,0.507449,0.342751,0.544643,0.569714,0.548729,0.550836,0.515272,0.567270,0.402562
cabinet#525,0.891265,0.835548,0.756504,0.764866,0.819233,0.818412,0.894748,0.872579,0.796128,0.899058,0.446534,0.522801,0.564792,0.466307,0.444279,0.466261,0.520929,0.570809,0.490087,0.528212,0.472459,0.568193,0.468066,0.553793,0.624772,0.629654,0.583909,0.852886,0.845861,1.000000,0.873896,0.880400,0.509403,0.437174,0.481647,0.499869,0.454510,0.499113,0.476335,0.640414,0.653618,0.493279,0.554144,0.384081,0.520036,0.586529,0.513312,0.476237,0.515459,0.635192,0.371467
cabinet#526,0.885977,0.858132,0.806200,0.803243,0.851092,0.868773,0.894723,0.855870,0.838930,0.858339,0.392070,0.498937,0.546361,0.413727,0.441560,0.463146,0.584842,0.541239,0.460835,0.587128,0.422126,0.587441,0.484409,0.519166,0.573113,0.621474,0.571987,0.865436,0.890163,0.873896,1.000000,0.892177,0.527577,0.353149,0.460550,0.520216,0.507631,0.492484,0.502403,0.639575,0.678604,0.475281,0.513013,0.338987,0.559518,0.562216,0.528161,0.492798,0.468025,0.581672,0.363750
