object,cabinet#130,cabinet#134,cabinet#135,cabinet#136,cabinet#140,cabinet#141,cabinet#143,cabinet#145,cabinet#146,cabinet#147,chair#131,chair#132,chair#139,clock#137,coffee maker#138,coffee maker#142,dining table#133,outlet#144,picture frame#129,refrigerator#128,clock#200,couch#199,shelf#202,side table#201,side table#203,side table#204,side table#205,cabinet#523,cabinet#524,cabinet#525,cabinet#526,cabinet#527,chair#518,chair#519,coffee maker#529,coffee maker#531,fireplace#528,fireplace#530,microwave#520,oven#521,side table#522,side table#532,chair#593,clock#589,couch#588,couch#592,fireplace#594,fireplace#595,side table#587,side table#590,table lamp#591
couch#199,0.000076,0.000307,0.000314,0.004393,0.001100,0.000295,0.000118,0.000206,0.000318,0.000387,0.071669,0.000007,0.000003,0.068691,0.000155,0.000258,0.053838,0.034152,0.090610,0.000682,0.020235,1.000000,0.000219,0.865251,0.877897,0.888112,0.889397,0.003811,0.000366,0.027427,0.005996,0.011351,0.077529,0.088338,0.000424,0.000430,0.040020,0.038655,0.009110,0.019094,0.068933,0.097633,0.054288,0.029241,0.166371,0.054293,0.049274,0.050344,0.376983,0.060545,0.339946
shelf#202,0.003209,0.074681,0.001758,0.001688,0.003639,0.007004,0.008632,0.017737,0.004391,0.100695,0.017317,0.175507,0.214138,0.067544,0.010493,0.001762,0.006818,0.003542,0.128231,0.077709,0.250951,0.000219,1.000000,0.000947,0.000809,0.000678,0.000742,0.000697,0.002713,0.000322,0.000302,0.000150,0.000159,0.026648,0.003020,0.003241,0.000001,0.000001,0.000441,0.000754,0.000019,0.000001,0.000853,0.127907,0.000006,0.000852,0.000007,0.000008,0.008305,0.000133,0.011422
side table#201,0.000365,0.001331,0.001223,0.014785,0.004590,0.001517,0.000581,0.000990,0.001588,0.001634,0.176037,0.000062,0.000024,0.132570,0.000832,0.001189,0.129757,0.086789,0.161931,0.003157,0.042545,0.865251,0.000947,1.000000,0.998389,0.981633,0.994877,0.009826,0.001448,0.061161,0.012829,0.021615,0.134728,0.203421,0.001880,0.001912,0.044547,0.046176,0.020666,0.048797,0.100797,0.095733,0.110716,0.067641,0.170702,0.110711,0.065760,0.065439,0.612838,0.103900,0.525725
side table#203,0.000365,0.001267,0.001248,0.015095,0.004605,0.001491,0.000571,0.000964,0.001574,0.001547,0.173929,0.000054,0.000021,0.128655,0.000811,0.001201,0.130650,0.088201,0.152398,0.002995,0.039671,0.877897,0.000809,0.998389,1.000000,0.990038,0.998868,0.010309,0.001468,0.064342,0.013677,0.023262,0.143081,0.199847,0.001888,0.001918,0.050225,0.051851,0.021850,0.050650,0.109714,0.106971,0.115356,0.064742,0.187619,0.115353,0.072668,0.072374,0.608432,0.110965,0.521845
side table#204,0.000445,0.001398,0.001561,0.017626,0.005324,0.001680,0.000671,0.001102,0.001800,0.001685,0.183742,0.000050,0.000018,0.136417,0.000916,0.001441,0.144462,0.099581,0.148177,0.003174,0.039487,0.888112,0.000678,0.981633,0.990038,1.000000,0.995262,0.013195,0.001809,0.077121,0.018028,0.030655,0.171174,0.209675,0.002235,0.002266,0.066488,0.067520,0.027829,0.059577,0.135983,0.135243,0.136058,0.067614,0.232597,0.136059,0.093559,0.093890,0.627157,0.135744,0.547102
side table#205,0.000370,0.001253,0.001282,0.015280,0.004619,0.001476,0.000573,0.000960,0.001565,0.001526,0.172874,0.000050,0.000019,0.128952,0.000802,0.001213,0.131578,0.089198,0.149477,0.002924,0.038977,0.889397,0.000742,0.994877,0.998868,0.995262,1.000000,0.010790,0.001501,0.066409,0.014512,0.024766,0.148701,0.198646,0.001903,0.001932,0.054395,0.055782,0.022924,0.051796,0.115734,0.114819,0.118854,0.064272,0.200033,0.118853,0.077678,0.077589,0.608087,0.116082,0.524808
cabinet#523,0.391508,0.160772,0.677060,0.745543,0.614410,0.375340,0.334925,0.307663,0.430262,0.138484,0.323038,0.005382,0.001549,0.128988,0.298326,0.553926,0.500954,0.606858,0.021572,0.192991,0.024140,0.003811,0.000697,0.009826,0.010309,0.013195,0.010790,1.000000,0.650716,0.608751,0.935081,0.806505,0.372123,0.262238,0.577699,0.571826,0.083337,0.082853,0.938105,0.683498,0.211943,0.038002,0.590348,0.124008,0.066672,0.590305,0.187953,0.199317,0.094533,0.432923,0.100684
cabinet#524,0.905359,0.443709,0.992114,0.612829,0.821269,0.781955,0.842902,0.771546,0.810477,0.378020,0.192911,0.043595,0.015851,0.084859,0.763115,0.904873,0.271834,0.332252,0.013759,0.476539,0.024792,0.000366,0.002713,0.001448,0.001468,0.001809,0.001501,0.650716,1.000000,0.220364,0.445186,0.285806,0.086453,0.155918,0.922917,0.922293,0.007422,0.007764,0.450722,0.326061,0.032342,0.002664,0.211099,0.115963,0.005898,0.211020,0.024764,0.026311,0.029087,0.102135,0.032605
cabinet#525,0.095920,0.039664,0.226636,0.674020,0.365500,0.166290,0.087809,0.087494,0.201800,0.035455,0.475287,0.001354,0.000360,0.114960,0.101601,0.235473,0.686740,0.808068,0.026218,0.073671,0.015822,0.027427,0.000322,0.061161,0.064342,0.077121,0.066409,0.608751,0.220364,1.000000,0.631372,0.735239,0.871071,0.365754,0.256010,0.252741,0.305290,0.331617,0.783793,0.955342,0.647294,0.206198,0.935217,0.087560,0.291374,0.935259,0.540979,0.533953,0.245112,0.884422,0.209284
cabinet#526,0.232643,0.089386,0.474268,0.577191,0.405260,0.210638,0.189459,0.172467,0.250433,0.077083,0.272938,0.001769,0.000463,0.116004,0.159350,0.350850,0.446792,0.539029,0.018834,0.104207,0.018714,0.005996,0.000302,0.012829,0.013677,0.018028,0.014512,0.935081,0.445186,0.631372,1.000000,0.942319,0.450935,0.225275,0.368225,0.363082,0.147519,0.140533,0.960196,0.638506,0.299214,0.070761,0.624353,0.097972,0.115921,0.624385,0.287705,0.309175,0.100571,0.533410,0.109127
cabinet#527,0.128957,0.046011,0.308163,0.504905,0.295404,0.131728,0.103370,0.094809,0.162419,0.039856,0.269378,0.000707,0.000172,0.100189,0.090620,0.232589,0.449763,0.543355,0.016906,0.059469,0.013579,0.011351,0.000150,0.021615,0.023262,0.030655,0.024766,0.806505,0.285806,0.735239,0.942319,1.000000,0.612955,0.218969,0.245835,0.241632,0.272771,0.261237,0.935485,0.678507,0.471277,0.146142,0.716800,0.075123,0.217056,0.716904,0.465611,0.493450,0.124923,0.707482,0.128549
chair#518,0.030147,0.014550,0.088928,0.378307,0.159365,0.058535,0.028137,0.029627,0.072874,0.013495,0.405447,0.000321,0.000081,0.108373,0.032708,0.086642,0.570184,0.630135,0.029556,0.028577,0.013630,0.077529,0.000159,0.134728,0.143081,0.171174,0.148701,0.372123,0.086453,0.871071,0.450935,0.612955,1.000000,0.327150,0.098807,0.097460,0.518022,0.545645,0.568126,0.729239,0.882380,0.431758,0.879916,0.068582,0.570602,0.880057,0.767431,0.759788,0.333469,0.985150,0.281231
chair#519,0.081178,0.167795,0.135379,0.360810,0.262090,0.168872,0.112211,0.152812,0.164358,0.179944,0.968506,0.018769,0.008322,0.705416,0.132872,0.131614,0.848565,0.701608,0.407539,0.264560,0.301268,0.088338,0.026648,0.203421,0.199847,0.209675,0.198646,0.262238,0.155918,0.365754,0.225275,0.218969,0.327150,1.000000,0.176096,0.179120,0.036167,0.038142,0.300732,0.434417,0.144530,0.034603,0.534795,0.641595,0.079051,0.534605,0.092200,0.095097,0.721905,0.300815,0.725970
