object,cabinet#130,cabinet#134,cabinet#135,cabinet#136,cabinet#140,cabinet#141,cabinet#143,cabinet#145,cabinet#146,cabinet#147,chair#131,chair#132,chair#139,clock#137,coffee maker#138,coffee maker#142,dining table#133,outlet#144,picture frame#129,refrigerator#128,clock#200,couch#199,shelf#202,side table#201,side table#203,side table#204,side table#205,cabinet#523,cabinet#524,cabinet#525,cabinet#526,cabinet#527,chair#518,chair#519,coffee maker#529,coffee maker#531,fireplace#528,fireplace#530,microwave#520,oven#521,side table#522,side table#532,chair#593,clock#589,couch#588,couch#592,fireplace#594,fireplace#595,side table#587,side table#590,table lamp#591
chair#131,0.070131,0.074561,0.072604,0.100034,0.089192,0.096513,0.081726,0.076008,0.082276,0.064538,1.000000,0.121796,0.091085,0.106388,0.079890,0.063614,0.123723,0.098795,0.056487,0.058880,0.340522,0.319264,0.083942,0.330732,0.311572,0.245341,0.286590,0.361244,0.307391,0.364602,0.314047,0.320814,0.466040,0.678092,0.284888,0.294021,0.190955,0.184737,0.282494,0.352554,0.435307,0.295026,0.479102,0.360230,0.315946,0.500443,0.211332,0.264604,0.460529,0.419939,0.379492
chair#132,0.077031,0.100086,0.071927,0.059494,0.080022,0.099148,0.090392,0.089116,0.083679,0.096523,0.121796,1.000000,0.180765,0.055811,0.074169,0.052556,0.056302,0.050384,0.039409,0.071222,0.216964,0.311892,0.155175,0.254354,0.254549,0.237078,0.254703,0.309275,0.310957,0.261076,0.273138,0.286008,0.303380,0.472898,0.199662,0.219676,0.181500,0.184783,0.162618,0.200264,0.381326,0.222880,0.257932,0.160986,0.261030,0.275407,0.181141,0.248266,0.282358,0.302332,0.178445
chair#139,0.085341,0.100317,0.090968,0.078355,0.077848,0.089868,0.073054,0.097167,0.078012,0.087223,0.091085,0.180765,1.000000,0.050811,0.046390,0.044062,0.069326,0.049333,0.051776,0.063110,0.207140,0.341094,0.161172,0.233254,0.261084,0.243048,0.260943,0.352322,0.363881,0.344904,0.329250,0.339905,0.245742,0.274346,0.196042,0.180615,0.210710,0.201832,0.194970,0.204693,0.313159,0.233937,0.287989,0.160691,0.270789,0.300614,0.175730,0.228943,0.279027,0.275857,0.266457
clock#137,0.067462,0.073888,0.067505,0.072697,0.075678,0.081799,0.068708,0.069227,0.082781,0.075772,0.106388,0.055811,0.050811,1.000000,0.087230,0.067588,0.080173,0.110465,0.108662,0.064545,0.777922,0.271433,0.149622,0.261014,0.230764,0.302256,0.258681,0.277580,0.287770,0.280572,0.269035,0.277093,0.277826,0.466077,0.286316,0.277642,0.271043,0.273930,0.251040,0.236103,0.293811,0.298206,0.335156,0.787058,0.253164,0.332420,0.242961,0.288853,0.321731,0.266205,0.399799
coffee maker#138,0.137592,0.106793,0.120793,0.111451,0.147505,0.158629,0.158911,0.143920,0.165351,0.104655,0.079890,0.074169,0.046390,0.087230,1.000000,0.183105,0.079657,0.088552,0.056851,0.120809,0.346351,0.274012,0.184981,0.240288,0.221925,0.269830,0.245610,0.369528,0.500519,0.280230,0.294837,0.277484,0.298938,0.237130,0.707354,0.741026,0.241264,0.296828,0.372367,0.350068,0.323525,0.332933,0.265937,0.345973,0.238721,0.289032,0.275561,0.238831,0.201664,0.299723,0.181514
coffee maker#142,0.124499,0.087488,0.132061,0.118478,0.138246,0.145205,0.123921,0.114253,0.147250,0.080042,0.063614,0.052556,0.044062,0.067588,0.183105,1.000000,0.070026,0.090195,0.044407,0.108505,0.293580,0.237867,0.232930,0.199913,0.207880,0.241374,0.195499,0.403306,0.532713,0.312714,0.346687,0.281836,0.267159,0.199736,0.837823,0.843378,0.224481,0.245218,0.498269,0.459584,0.268521,0.269463,0.302525,0.316561,0.224312,0.308467,0.261590,0.247474,0.212538,0.258766,0.214660
dining table#133,0.082811,0.073245,0.096055,0.126843,0.127972,0.089239,0.086227,0.092965,0.112363,0.064161,0.123723,0.056302,0.069326,0.080173,0.079657,0.070026,1.000000,0.128578,0.054415,0.075615,0.240925,0.314959,0.173250,0.297548,0.250738,0.322773,0.381932,0.447347,0.351736,0.428602,0.359871,0.384536,0.420161,0.392515,0.277586,0.311800,0.267108,0.248582,0.372181,0.368445,0.456809,0.340311,0.462791,0.304346,0.262385,0.458653,0.259239,0.316307,0.377808,0.467672,0.387381
outlet#144,0.095404,0.073996,0.084982,0.119760,0.116979,0.100589,0.098280,0.092675,0.108590,0.088116,0.098795,0.050384,0.049333,0.110465,0.088552,0.090195,0.128578,1.000000,0.059807,0.083526,0.344564,0.258256,0.205260,0.212462,0.214013,0.347372,0.244288,0.456914,0.350963,0.497192,0.394067,0.444180,0.430552,0.478344,0.368995,0.352722,0.328856,0.267213,0.401086,0.475646,0.370761,0.328547,0.486228,0.479182,0.274957,0.504945,0.322016,0.356452,0.266318,0.385133,0.322736
picture frame#129,0.073985,0.064864,0.063057,0.063644,0.074089,0.066320,0.065677,0.075585,0.067308,0.072732,0.056487,0.039409,0.051776,0.108662,0.056851,0.044407,0.054415,0.059807,1.000000,0.054387,0.461778,0.226750,0.195961,0.228734,0.248509,0.297073,0.262120,0.269911,0.243908,0.245468,0.202343,0.287665,0.216526,0.272717,0.223130,0.197097,0.152905,0.152585,0.137010,0.199732,0.208146,0.212199,0.240073,0.393290,0.184956,0.241039,0.200130,0.145890,0.265471,0.233391,0.333498
refrigerator#128,0.127195,0.143754,0.117887,0.103109,0.116853,0.139616,0.147535,0.145421,0.125151,0.158157,0.058880,0.071222,0.063110,0.064545,0.120809,0.108505,0.075615,0.083526,0.054387,1.000000,0.242562,0.250452,0.239348,0.182259,0.157817,0.297878,0.197045,0.447529,0.523375,0.371768,0.382573,0.402494,0.228966,0.214526,0.470842,0.473362,0.211865,0.208935,0.422062,0.367689,0.245124,0.287009,0.266502,0.352688,0.243792,0.276648,0.227978,0.152920,0.182511,0.220348,0.159766
clock#200,0.302018,0.265572,0.275833,0.281125,0.300739,0.317943,0.330678,0.297940,0.360437,0.286915,0.340522,0.216964,0.207140,0.777922,0.346351,0.293580,0.240925,0.344564,0.461778,0.242562,1.000000,0.059754,0.061002,0.060076,0.046674,0.061073,0.054278,0.253219,0.252473,0.237279,0.220668,0.251515,0.301243,0.335555,0.288712,0.245341,0.287682,0.264676,0.236245,0.193682,0.280688,0.340803,0.232790,0.751720,0.259388,0.251428,0.240140,0.262192,0.227467,0.231617,0.299964
couch#199,0.366490,0.358052,0.376480,0.304938,0.378993,0.377468,0.353228,0.356179,0.357067,0.339191,0.319264,0.311892,0.341094,0.271433,0.274012,0.237867,0.314959,0.258256,0.226750,0.250452,0.059754,1.000000,0.034976,0.153561,0.152482,0.151756,0.162354,0.360741,0.415590,0.370750,0.362932,0.344550,0.461135,0.240589,0.270020,0.257882,0.222916,0.298690,0.255004,0.292803,0.506704,0.347165,0.527674,0.221269,0.622791,0.577254,0.302731,0.291067,0.452346,0.376418,0.303555
shelf#202,0.175517,0.165034,0.201992,0.187026,0.222534,0.177233,0.174771,0.222248,0.232029,0.175930,0.083942,0.155175,0.161172,0.149622,0.184981,0.232930,0.173250,0.205260,0.195961,0.239348,0.061002,0.034976,1.000000,0.046730,0.047532,0.038735,0.037938,0.136151,0.182793,0.123903,0.169483,0.152421,0.163384,0.127178,0.179463,0.192731,0.223763,0.157669,0.182705,0.204860,0.161284,0.206421,0.134891,0.247804,0.140041,0.148048,0.190749,0.226837,0.248048,0.151623,0.181395
side table#201,0.312092,0.299820,0.265591,0.280972,0.281075,0.313274,0.333908,0.307911,0.331711,0.322113,0.330732,0.254354,0.233254,0.261014,0.240288,0.199913,0.297548,0.212462,0.228734,0.182259,0.060076,0.153561,0.046730,1.000000,0.188100,0.180798,0.203742,0.324398,0.334437,0.321808,0.287400,0.306042,0.300156,0.304136,0.214832,0.204495,0.223413,0.204100,0.154570,0.250762,0.422366,0.363979,0.316280,0.224275,0.361111,0.343173,0.254556,0.292680,0.617152,0.431056,0.344333
side table#203,0.315815,0.346512,0.264297,0.286645,0.269728,0.333599,0.294256,0.314869,0.305519,0.360569,0.311572,0.254549,0.261084,0.230764,0.221925,0.207880,0.250738,0.214013,0.248509,0.157817,0.046674,0.152482,0.047532,0.188100,1.000000,0.187183,0.187881,0.285154,0.334408,0.354016,0.316355,0.294886,0.246786,0.339260,0.214820,0.209028,0.178752,0.241414,0.180487,0.307243,0.391699,0.332386,0.377739,0.237011,0.315811,0.378626,0.294025,0.251945,0.660435,0.387439,0.301705
