id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c7,mem:c8,mem:c9,mem:c11,mem:c12,mem:c13,mem:c14,mem:c16,mem:c17,mem:c19,mem:c20,mem:c21,mem:c22,cur:obj518@view_00058,cur:obj519@view_00058,cur:obj520@view_00058,cur:obj521@view_00058,cur:obj522@view_00058,cur:obj523@view_00058,cur:obj524@view_00058,cur:obj525@view_00058,cur:obj526@view_00058,cur:obj527@view_00058,cur:obj528@view_00058,cur:obj529@view_00058,cur:obj530@view_00058,cur:obj531@view_00058,cur:obj532@view_00058
mem:c17,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.083943,-0.000000,-0.080054,-0.116033,-0.126448,-0.101153,-0.119570,-0.115983,-0.000000,-0.084987,-0.000000,-0.085297,-0.086004
mem:c19,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.145313,-0.000000,-0.104001,-0.087029,-0.098607,-0.098086,-0.115289,-0.115212,-0.105468,-0.000000,-0.076501,-0.000000,-0.000000,-0.084815
mem:c20,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c21,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.280397,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
mem:c22,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj518@view_00058,-0.000000,-0.000000,-0.079866,-0.198565,-0.000000,-0.149841,-0.121933,-0.085610,-0.000000,-0.000000,-0.097946,-0.086410,-0.000000,-0.127089,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj519@view_00058,-0.000000,-0.000000,-0.000000,-0.302945,-0.301326,-0.000000,-0.089658,-0.000000,-0.372738,-0.000000,-0.000000,-0.000000,-0.000000,-0.144438,-0.000000,-0.145313,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj520@view_00058,-0.121919,-0.106276,-0.083664,-0.000000,-0.000000,-0.000000,-0.091679,-0.098083,-0.000000,-0.000000,-0.074557,-0.075429,-0.142299,-0.000000,-0.083943,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj521@view_00058,-0.092564,-0.097284,-0.071577,-0.000000,-0.000000,-0.000000,-0.087461,-0.098794,-0.000000,-0.000000,-0.080030,-0.077557,-0.123389,-0.117969,-0.000000,-0.104001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj522@view_00058,-0.000000,-0.000000,-0.086340,-0.155824,-0.183429,-0.139272,-0.094197,-0.089561,-0.000000,-0.000000,-0.091579,-0.098664,-0.000000,-0.000000,-0.080054,-0.087029,-0.000000,-0.280397,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
