id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c6,mem:c11,mem:c25,mem:c43,mem:c44,mem:c45,mem:c46,mem:c47,mem:c48,mem:c49,mem:c50,mem:c51,mem:c52,mem:c53,mem:c54,cur:obj221@view_00027,cur:obj222@view_00027,cur:obj223@view_00027,cur:obj224@view_00027,cur:obj225@view_00027,cur:obj226@view_00027,cur:obj227@view_00027,cur:obj228@view_00027,cur:obj229@view_00027,cur:obj230@view_00027,cur:obj231@view_00027,cur:obj232@view_00027,cur:obj233@view_00027,cur:obj234@view_00027,cur:obj235@view_00027,cur:obj236@view_00027,cur:obj237@view_00027,cur:obj238@view_00027
cur:obj225@view_00027,0.000000,0.442269,0.000000,0.610310,0.000000,0.373564,0.000000,0.453389,0.615808,0.525977,0.489216,0.363386,0.390759,0.434799,0.409510,0.427813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj226@view_00027,0.000000,0.499485,0.000000,0.613523,0.000000,0.398080,0.000000,0.474382,0.611205,0.466592,0.472871,0.449905,0.414472,0.414356,0.366902,0.446462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj227@view_00027,0.000000,0.000000,0.000000,0.661477,0.404754,0.000000,0.000000,0.656629,0.530936,0.520733,0.697214,0.762483,0.821132,0.793630,0.431322,0.000000,0.369394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj228@view_00027,0.000000,0.000000,0.000000,0.356098,0.000000,0.000000,0.356555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.566803,0.000000,0.000000,0.395077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj229@view_00027,0.000000,0.000000,0.000000,0.722299,0.354340,0.000000,0.000000,0.716539,0.569851,0.656254,0.670242,0.678925,0.715233,0.653186,0.443757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj230@view_00027,0.000000,0.000000,0.000000,0.464726,0.355065,0.000000,0.000000,0.389482,0.381115,0.000000,0.000000,0.000000,0.000000,0.000000,0.414191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj231@view_00027,0.000000,0.000000,0.000000,0.695451,0.411440,0.000000,0.000000,0.719196,0.528981,0.557236,0.724141,0.755360,0.793029,0.770354,0.494332,0.000000,0.368814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj232@view_00027,0.000000,0.417662,0.000000,0.454030,0.000000,0.361079,0.000000,0.000000,0.450260,0.358794,0.000000,0.000000,0.000000,0.000000,0.354578,0.370271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj233@view_00027,0.000000,0.000000,0.000000,0.668551,0.406984,0.000000,0.000000,0.576951,0.724174,0.565172,0.580890,0.579275,0.613530,0.612054,0.414740,0.000000,0.387320,0.353368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj234@view_00027,0.000000,0.000000,0.000000,0.538427,0.426847,0.000000,0.000000,0.458447,0.455074,0.474978,0.445518,0.449367,0.435844,0.506408,0.000000,0.000000,0.389697,0.360753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
