id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23,cur:obj128@view_00019,cur:obj129@view_00019,cur:obj130@view_00019,cur:obj131@view_00019,cur:obj132@view_00019,cur:obj133@view_00019,cur:obj134@view_00019,cur:obj135@view_00019,cur:obj136@view_00019,cur:obj137@view_00019,cur:obj138@view_00019,cur:obj139@view_00019,cur:obj140@view_00019,cur:obj141@view_00019,cur:obj142@view_00019,cur:obj143@view_00019,cur:obj144@view_00019,cur:obj145@view_00019,cur:obj146@view_00019,cur:obj147@view_00019
cur:obj136@view_00019,0.369275,0.511312,0.000000,0.619318,0.593685,0.512643,0.000000,0.420277,0.376707,0.737253,0.546857,0.000000,0.537458,0.463662,0.654884,0.629672,0.780747,0.549602,0.000000,0.534307,0.506675,0.000000,0.515779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj137@view_00019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj138@view_00019,0.000000,0.366691,0.000000,0.000000,0.407833,0.000000,0.000000,0.000000,0.441907,0.395842,0.529398,0.000000,0.531117,0.351212,0.000000,0.431999,0.426074,0.000000,0.000000,0.000000,0.444512,0.820874,0.447988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj139@view_00019,0.000000,0.000000,0.000000,0.000000,0.355454,0.000000,0.648787,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357148,0.000000,0.000000,0.000000,0.000000,0.376131,0.000000,0.375196,0.000000,0.368397,0.788107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj140@view_00019,0.000000,0.381602,0.000000,0.538354,0.634117,0.467825,0.000000,0.386905,0.422187,0.698842,0.675356,0.000000,0.678714,0.462628,0.588027,0.804859,0.761811,0.567057,0.355952,0.568442,0.523788,0.454791,0.618136,0.368354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj141@view_00019,0.000000,0.361952,0.000000,0.501869,0.631052,0.368155,0.421983,0.367627,0.496074,0.663701,0.671046,0.000000,0.682445,0.539217,0.538236,0.645028,0.726241,0.555540,0.386171,0.500472,0.613005,0.547157,0.645230,0.356344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj142@view_00019,0.000000,0.489513,0.000000,0.000000,0.454268,0.000000,0.000000,0.000000,0.414726,0.385242,0.456035,0.000000,0.419436,0.000000,0.000000,0.463687,0.426846,0.000000,0.000000,0.000000,0.372075,0.619774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj143@view_00019,0.000000,0.000000,0.000000,0.589973,0.675440,0.000000,0.000000,0.000000,0.522123,0.570134,0.857379,0.000000,0.867119,0.630747,0.574463,0.617260,0.577925,0.592617,0.000000,0.564106,0.683856,0.492724,0.784799,0.356827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
cur:obj144@view_00019,0.498630,0.439604,0.000000,0.379861,0.000000,0.482883,0.000000,0.352862,0.000000,0.582834,0.375088,0.440129,0.370594,0.000000,0.543924,0.455777,0.498410,0.429243,0.354890,0.423649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
cur:obj145@view_00019,0.000000,0.000000,0.000000,0.565066,0.712942,0.350970,0.000000,0.000000,0.523806,0.536229,0.776044,0.000000,0.833074,0.663379,0.533934,0.644987,0.554621,0.582951,0.000000,0.590339,0.718166,0.459274,0.813913,0.418610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
cur:obj146@view_00019,0.000000,0.350690,0.000000,0.543078,0.633219,0.395741,0.000000,0.375239,0.438175,0.667110,0.749002,0.000000,0.720066,0.480448,0.573016,0.706028,0.698912,0.552572,0.000000,0.542828,0.539372,0.513373,0.614737,0.377492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
cur:obj147@view_00019,0.000000,0.000000,0.000000,0.474242,0.522954,0.000000,0.362783,0.000000,0.539289,0.487587,0.621856,0.000000,0.696865,0.764816,0.506299,0.504416,0.486309,0.552604,0.000000,0.467790,0.595740,0.000000,0.739571,0.453879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
